"id","prediction"
3,"4"
6,"4"
9,"2"
11,"4"
12,"4"
14,"4"
15,"3"
16,"2"
18,"4"
19,"4"
21,"2"
22,"4"
23,"4"
24,"1"
25,"2"
26,"2"
27,"4"
29,"4"
30,"4"
33,"4"
34,"4"
36,"2"
37,"2"
38,"4"
39,"1"
40,"2"
41,"4"
42,"1"
43,"2"
44,"4"
45,"4"
47,"1"
48,"4"
49,"4"
50,"3"
51,"4"
53,"4"
55,"4"
57,"2"
60,"4"
61,"4"
62,"4"
67,"4"
68,"1"
69,"2"
70,"2"
75,"4"
76,"4"
77,"4"
78,"4"
79,"4"
81,"4"
82,"4"
84,"4"
85,"2"
86,"4"
87,"2"
92,"4"
93,"1"
95,"4"
96,"4"
97,"4"
99,"4"
100,"1"
101,"4"
102,"3"
104,"4"
106,"4"
107,"2"
111,"4"
114,"2"
116,"2"
117,"4"
118,"4"
120,"3"
121,"1"
123,"4"
125,"4"
127,"4"
128,"4"
129,"4"
130,"4"
131,"2"
132,"4"
133,"4"
134,"4"
137,"4"
138,"4"
139,"4"
140,"4"
141,"2"
142,"3"
144,"2"
146,"4"
147,"3"
148,"1"
149,"4"
150,"4"
152,"4"
153,"2"
154,"3"
155,"4"
156,"2"
157,"4"
158,"4"
159,"4"
160,"4"
162,"4"
163,"4"
165,"4"
166,"2"
167,"4"
168,"4"
169,"2"
170,"2"
174,"4"
175,"3"
177,"2"
178,"3"
179,"4"
180,"4"
182,"4"
184,"4"
185,"2"
186,"4"
187,"4"
188,"2"
190,"4"
191,"4"
192,"4"
193,"2"
196,"4"
198,"2"
202,"4"
203,"4"
205,"4"
206,"4"
207,"4"
208,"4"
209,"1"
210,"4"
212,"4"
213,"3"
216,"4"
219,"4"
222,"2"
223,"2"
224,"4"
225,"3"
226,"2"
227,"4"
229,"4"
231,"4"
233,"4"
234,"4"
235,"4"
236,"4"
237,"4"
238,"4"
239,"4"
240,"4"
242,"4"
244,"4"
246,"2"
250,"3"
251,"4"
254,"4"
255,"4"
256,"1"
257,"2"
258,"3"
259,"4"
260,"4"
261,"4"
262,"3"
263,"2"
264,"4"
267,"3"
270,"3"
272,"2"
273,"2"
274,"4"
277,"2"
278,"4"
280,"1"
282,"4"
283,"4"
284,"4"
285,"4"
286,"4"
287,"4"
288,"4"
291,"1"
292,"3"
293,"3"
294,"3"
297,"4"
298,"4"
301,"2"
303,"4"
304,"4"
306,"1"
308,"3"
309,"4"
310,"3"
311,"4"
312,"4"
313,"4"
314,"4"
315,"4"
316,"2"
317,"4"
318,"1"
319,"4"
320,"2"
324,"4"
325,"3"
326,"4"
327,"4"
328,"4"
329,"2"
330,"4"
331,"2"
332,"4"
333,"2"
335,"4"
337,"4"
340,"3"
342,"3"
343,"4"
345,"4"
347,"4"
349,"1"
350,"4"
351,"2"
352,"4"
353,"4"
354,"4"
355,"4"
356,"4"
357,"2"
359,"4"
360,"4"
361,"2"
362,"4"
363,"4"
365,"4"
368,"4"
369,"4"
370,"4"
373,"4"
375,"4"
376,"4"
377,"4"
378,"4"
379,"1"
380,"4"
382,"3"
383,"4"
384,"4"
385,"4"
386,"4"
387,"3"
390,"4"
391,"4"
394,"2"
395,"4"
397,"1"
400,"4"
401,"3"
402,"3"
403,"2"
404,"2"
405,"2"
407,"4"
408,"4"
409,"4"
410,"2"
411,"4"
413,"4"
416,"4"
417,"4"
419,"4"
420,"2"
421,"4"
423,"4"
426,"2"
427,"4"
429,"4"
430,"4"
431,"4"
432,"2"
433,"4"
434,"4"
436,"4"
439,"2"
441,"4"
443,"3"
445,"4"
446,"4"
447,"4"
448,"2"
450,"3"
452,"4"
453,"4"
454,"1"
455,"3"
456,"4"
457,"1"
458,"4"
462,"4"
463,"1"
464,"4"
465,"4"
466,"4"
467,"4"
469,"4"
470,"4"
471,"4"
474,"3"
475,"4"
477,"3"
478,"4"
479,"4"
480,"4"
481,"4"
482,"2"
483,"4"
484,"1"
485,"4"
486,"3"
488,"2"
489,"3"
490,"4"
491,"4"
492,"4"
493,"4"
494,"4"
496,"2"
497,"2"
498,"4"
500,"3"
501,"4"
505,"4"
506,"4"
508,"4"
509,"4"
510,"4"
511,"4"
514,"4"
515,"4"
516,"4"
517,"4"
519,"4"
520,"3"
521,"2"
523,"4"
525,"2"
526,"4"
527,"3"
528,"3"
529,"2"
531,"4"
532,"2"
533,"4"
534,"4"
536,"4"
537,"4"
538,"2"
542,"1"
543,"4"
545,"3"
546,"4"
547,"4"
549,"4"
550,"4"
553,"3"
554,"3"
555,"1"
557,"4"
559,"4"
560,"4"
561,"4"
562,"4"
565,"4"
566,"4"
568,"4"
569,"4"
570,"3"
571,"4"
572,"4"
575,"4"
576,"4"
579,"4"
580,"4"
582,"4"
583,"3"
585,"4"
586,"4"
589,"1"
590,"4"
591,"4"
593,"4"
594,"3"
595,"4"
597,"4"
598,"3"
599,"4"
600,"4"
601,"4"
602,"4"
604,"4"
606,"2"
608,"4"
609,"4"
610,"4"
612,"1"
614,"4"
615,"4"
616,"2"
617,"4"
618,"4"
619,"4"
620,"4"
621,"4"
624,"4"
627,"4"
628,"2"
629,"4"
630,"3"
634,"4"
637,"2"
638,"4"
639,"4"
640,"2"
641,"4"
642,"4"
643,"4"
644,"2"
645,"4"
646,"4"
648,"4"
649,"4"
650,"2"
651,"4"
652,"4"
654,"4"
655,"4"
656,"4"
658,"3"
659,"4"
660,"4"
661,"4"
666,"4"
667,"4"
668,"3"
669,"4"
670,"4"
671,"4"
675,"2"
677,"3"
679,"4"
680,"4"
681,"2"
682,"4"
683,"4"
684,"4"
685,"2"
686,"4"
690,"4"
692,"2"
693,"3"
694,"4"
696,"4"
699,"4"
700,"4"
701,"4"
702,"4"
704,"3"
706,"4"
707,"1"
708,"2"
709,"1"
712,"3"
713,"4"
714,"4"
715,"4"
716,"4"
717,"4"
718,"4"
719,"4"
720,"4"
721,"3"
722,"3"
724,"4"
727,"4"
728,"2"
729,"4"
731,"4"
733,"4"
734,"4"
735,"4"
736,"2"
737,"3"
738,"1"
739,"4"
741,"4"
742,"4"
744,"4"
745,"1"
746,"4"
748,"2"
749,"4"
752,"2"
753,"3"
754,"2"
756,"2"
757,"4"
758,"2"
759,"4"
760,"3"
761,"4"
764,"4"
765,"2"
768,"4"
769,"4"
770,"4"
772,"4"
774,"4"
775,"4"
776,"4"
777,"4"
778,"3"
781,"3"
782,"4"
783,"4"
785,"4"
786,"2"
788,"3"
789,"4"
790,"2"
791,"4"
792,"1"
794,"2"
795,"4"
796,"4"
797,"4"
798,"4"
800,"3"
801,"1"
802,"4"
803,"4"
804,"4"
805,"4"
806,"4"
807,"4"
808,"4"
809,"3"
812,"4"
813,"4"
814,"2"
815,"4"
817,"2"
819,"2"
820,"4"
822,"4"
825,"3"
826,"4"
827,"4"
828,"1"
830,"4"
832,"4"
833,"4"
834,"1"
836,"3"
837,"3"
839,"2"
841,"4"
843,"4"
846,"1"
847,"1"
848,"4"
849,"1"
850,"4"
851,"4"
852,"2"
853,"2"
855,"1"
858,"4"
859,"4"
861,"2"
862,"2"
864,"4"
866,"4"
868,"4"
870,"4"
872,"3"
873,"2"
874,"4"
875,"4"
877,"4"
879,"4"
880,"3"
882,"4"
883,"4"
884,"4"
885,"4"
888,"4"
889,"2"
891,"4"
893,"4"
894,"4"
895,"3"
896,"4"
897,"2"
899,"4"
901,"4"
903,"4"
904,"4"
905,"2"
909,"4"
910,"4"
911,"4"
912,"4"
914,"4"
917,"4"
918,"4"
919,"4"
920,"2"
921,"4"
922,"4"
926,"4"
927,"4"
929,"4"
931,"4"
933,"4"
934,"4"
936,"4"
937,"4"
938,"4"
939,"2"
940,"4"
941,"2"
942,"4"
943,"4"
945,"3"
946,"4"
948,"3"
950,"2"
952,"4"
953,"4"
955,"2"
956,"2"
959,"4"
960,"4"
961,"4"
962,"2"
964,"4"
967,"4"
968,"4"
969,"4"
971,"3"
972,"4"
974,"4"
975,"4"
976,"4"
978,"3"
980,"4"
981,"3"
982,"4"
983,"4"
984,"4"
985,"4"
986,"4"
987,"3"
988,"4"
990,"3"
991,"4"
992,"4"
994,"4"
995,"3"
996,"3"
999,"4"
1000,"2"
1001,"4"
1002,"4"
1003,"4"
1005,"4"
1006,"4"
1007,"4"
1009,"2"
1010,"2"
1012,"4"
1013,"4"
1014,"4"
1015,"4"
1016,"2"
1018,"3"
1019,"2"
1020,"4"
1021,"4"
1022,"2"
1023,"2"
1024,"4"
1027,"4"
1028,"4"
1030,"4"
1031,"4"
1032,"4"
1033,"4"
1034,"2"
1036,"2"
1037,"4"
1038,"4"
1039,"4"
1040,"4"
1042,"4"
1043,"4"
1045,"4"
1046,"4"
1049,"1"
1050,"4"
1051,"4"
1052,"4"
1054,"4"
1055,"3"
1056,"1"
1058,"2"
1059,"2"
1062,"4"
1064,"1"
1065,"1"
1066,"4"
1067,"4"
1068,"3"
1069,"2"
1071,"4"
1074,"4"
1076,"4"
1077,"4"
1079,"2"
1080,"4"
1081,"4"
1082,"3"
1085,"4"
1086,"4"
1087,"4"
1089,"4"
1090,"4"
1091,"2"
1092,"2"
1093,"4"
1094,"4"
1095,"3"
1097,"4"
1098,"2"
1099,"2"
1100,"4"
1102,"4"
1103,"4"
1104,"4"
1106,"4"
1107,"4"
1108,"4"
1109,"4"
1110,"4"
